skill,data_analyst,ml_engineer,web_developer,devops_cloud,cybersecurity,software_dev,qa_tester,full_stack_dev
Linux,0,0,0,1,1,0,0,0
Load Balancing,0,0,0,1,0,0,0,0
Looker,1,0,0,0,0,0,0,0
MDR,0,0,0,0,1,0,0,0
MERN Stack,0,0,0,0,0,0,0,1
MS Office,1,0,0,0,0,0,0,0
MVC,0,0,0,0,0,1,0,0
Machine Learning,0,1,0,0,0,0,0,0
Macros,1,0,0,0,0,0,0,0
Manual Testing,0,0,0,0,0,0,1,0
Matplotlib,1,0,0,0,0,0,0,0
Maven,0,0,0,0,0,1,0,0
Microservices,0,0,0,1,0,1,0,0
Mobile Testing,0,0,0,0,0,0,1,0
MongoDB,0,0,0,0,0,1,0,1
Monitoring,0,0,0,1,0,0,0,0
Monitoring Tools,0,0,0,1,0,0,0,0
MySQL,0,0,1,0,0,0,0,0
NLP,0,1,0,0,0,0,0,0
Network Security,0,0,0,0,1,0,0,0
Networking,0,0,0,1,1,0,0,0
Neural Networks,0,1,0,0,0,0,0,0
Next.js,0,0,1,0,0,0,0,1
Nginx,0,0,0,1,0,0,0,0
Node.js,0,0,0,0,0,1,0,1
NumPy,1,1,0,0,0,0,0,0
OOP,0,0,1,0,0,1,0,0
OpenCV,0,1,0,0,0,0,0,0
PHP,0,0,1,0,0,1,0,0
Pandas,1,1,0,0,0,0,0,0
Penetration Testing,0,0,0,0,1,0,0,0
PostgreSQL,0,0,0,0,0,1,0,0
Postman,0,0,0,0,0,0,1,0
Power BI,1,0,0,0,0,0,0,0
Problem Solving,0,0,0,0,0,1,0,0
PyTorch,0,1,0,0,0,0,0,0
Pytest,0,0,0,0,0,0,1,0
Python,1,1,0,0,0,1,0,0
REST API,0,0,1,0,0,1,0,1
React,0,0,1,0,0,0,0,1
Redux,0,0,0,0,0,0,0,1
Regression Testing,0,0,0,0,0,0,1,0
Reinforcement Learning,0,1,0,0,0,0,0,0
Responsive Design,0,0,1,0,0,0,0,1
Risk Assessment,0,0,0,0,1,0,0,0
Risk Management,1,0,0,0,1,0,0,0
Root Cause Analysis,0,0,0,0,1,0,0,0
SAS,1,0,0,0,0,0,0,0
SDLC,0,0,0,0,0,0,1,0
SEO,0,0,1,0,0,0,0,0
SIEM,0,0,0,0,1,0,0,0
SIEM Tools,0,0,0,0,1,0,0,0
SOC,0,0,0,0,1,0,0,0
SQL,1,1,0,0,0,1,0,0
STLC,0,0,0,0,0,0,1,0
Scikit-learn,0,1,0,0,0,0,0,0
Seaborn,1,0,0,0,0,0,0,0
Selenium,0,0,0,0,0,0,1,0
Software Development,0,0,0,0,0,1,0,0
Software Engineering,0,0,0,0,0,1,0,0
Spring Boot,0,0,1,0,0,1,0,0
Statistics,0,1,0,0,0,0,0,0
Tableau,1,0,0,0,0,0,0,0
Tailwind CSS,0,0,1,0,0,0,0,1
TensorFlow,0,1,0,0,0,0,0,0
Terraform,0,0,0,1,0,0,0,0
Test Automation,0,0,0,0,0,0,1,0
Test Cases,0,0,0,0,0,0,1,0
TestNG,0,0,0,0,0,0,1,0
Threat Analysis,0,0,0,0,1,0,0,0
Threat Detection,0,0,0,0,1,0,0,0
TypeScript,0,0,1,0,0,0,0,1
Unit Testing,0,0,0,0,0,1,1,0
Vue.js,0,0,1,0,0,0,0,0
Vulnerability Assessment,0,0,0,0,1,0,0,0
Wireshark,0,0,0,0,1,0,0,0
WordPress,0,0,1,0,0,0,0,0
jQuery,0,0,1,0,0,1,0,0
